id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
13	artificial intelligence	-1.0955	-0.6782	4	5	5	3	2015.6667
14	artificial neural networks	-0.6512	-0.9166	1	14	17	24	2016.6667
15	artificial vision	-0.0002	0.0001	5	0	0	1	2019
17	autopilot	-0.4032	-0.1059	6	1	1	1	2015
18	bayes theorem	-0.2229	-0.1657	7	2	2	1	2017
19	bayesian inference	-0.2699	0.0478	8	2	2	1	2017
20	bayesian networks	-0.285	0.2481	9	2	2	1	2017
21	big data	0.699	-0.8013	2	15	17	18	2017.3333
22	business intelligence	1.0587	-1.1832	2	5	6	2	2019
24	celular network	-0.0225	0.7265	10	1	1	1	2016
26	chatbot	0.783	-0.1381	11	1	1	2	2018.5
27	clasificación	0.7958	0.9464	12	2	2	1	2016
29	classification	-1.0149	0.718	13	3	4	3	2016
30	classification algorithms	-0.8041	-0.4935	14	2	2	1	2015
31	classification algorithms.	-0.4398	0.9341	15	2	2	1	2019
32	classification and regression trees	-0.1489	0.6099	16	1	1	1	2017
34	cloud computing	0.711	-0.3745	17	1	1	2	2018.5
35	cluster detection	-0.689	0.0574	18	1	1	1	2018
36	clustering	1.0507	0.7587	19	6	6	5	2016.2
37	clustering with constraints	0.65	1.1883	20	2	2	1	2017
38	cognitive maps	-0.8137	-0.0792	21	1	1	1	2017
39	cognitive science	0.1901	-1.1684	22	2	2	1	2019
40	cognitive security	0.2699	-0.9422	23	2	2	1	2019
41	collective intelligence	1.4163	-0.5448	24	4	4	1	2019
42	competency	1.0176	-0.1427	25	2	2	1	2015
44	computer vision	-1.5256	-0.5675	26	4	5	2	2018
45	conceptual species distribution models	0.1307	-0.3019	27	1	1	1	2017
54	data analytics	1.0776	-0.5191	28	4	4	1	2019
56	data mining	0.1212	1.0209	3	11	12	21	2017.0476
58	data warehouse	0.5679	-1.2563	2	2	3	2	2018.5
59	datascience	0.6918	0.7123	29	2	2	1	2016
62	decision support	-0.4289	-0.3073	30	1	1	1	2014
63	decision support system	0.0816	0.2532	31	1	1	1	2016
64	decision tree	-0.2628	0.4612	32	1	1	1	2017
68	deep learning	-1.22	0.3818	1	3	5	6	2017.3333
72	deterministic algorithm	0	-0	33	0	0	1	2016
73	digital learning	0.0001	-0.0001	34	0	0	1	2015
76	distributed system	-0.9602	-0.3044	35	2	2	1	2019
79	driver support system	-0.8625	0.4436	36	2	2	1	2014
84	ecological model	0.0001	-0	37	0	0	1	2019
91	endocrine disease	0.1789	0.6787	38	1	1	1	2018
93	expert agent	0	-0.0001	39	0	0	1	2015
107	fuzzy clustering	-0.0039	-0.791	40	3	3	3	2016.3333
108	fuzzy control	-0.0832	-0.016	41	1	1	1	2015
110	fuzzy databases	-0.0001	-0.0001	42	0	0	1	2019
111	fuzzy logic	-0.0679	0.3779	43	2	2	6	2017.1667
114	fuzzy relational data bases	-0.0789	0.1744	44	1	1	1	2016
115	fuzzy rules	-0.1861	-0.5975	45	2	2	1	2018
116	fuzzy system	0.6811	0.4877	46	1	1	1	2017
119	genetic algorithms	0.064	-0.4958	47	2	2	4	2016.5
123	gesture-based interaction	0.0001	-0	48	0	0	1	2015
132	heuristics	0.1	-0.1072	49	1	1	1	2019
137	human-computer interaction	0.6478	-0.0022	50	1	1	1	2019
138	human-motion-intention	-0.3462	0.6508	51	1	1	1	2015
139	humanoid robot	0.0001	-0.0001	52	0	0	1	2013
140	image processing	-0.494	-0.5389	53	3	4	3	2017.3333
142	image segmentation	-0.0001	-0.0002	54	0	0	1	2017
149	industrial internet of things	-0.2583	-0.3809	55	1	1	1	2019
151	industry 4.0	1.2748	-0.8585	56	4	4	1	2019
164	internet of things	0.2291	0.1263	57	1	1	2	2018.5
165	internet of things (iot)	0.0747	0.069	58	1	1	1	2018
176	k-means clustering	0.5233	-0.4617	59	1	1	1	2014
177	k-medoids	0.4139	1.2975	60	2	2	1	2017
178	k-nearest neighbour	-0.1692	-1.039	61	2	2	1	2016
179	k-nn and decision trees	-0.5994	-0.0874	62	1	1	1	2016
185	learning analytics	0.5238	0.2499	3	5	6	4	2016.5
188	linear programming	0.4997	0.9481	63	2	2	1	2017
195	machine learning	-1.3068	-0.0866	1	15	22	29	2016.7586
211	model tree	-0.2882	-1.2581	64	2	2	1	2016
214	multi-agent systems	-0.0001	-0.0002	65	0	0	1	2019
216	multi-target prediction	-0.2994	1.1515	66	2	2	1	2019
222	multy-agent systems	-0	-0.0001	67	0	0	1	2017
223	natural language process	0.3984	-0.0017	68	1	1	1	2019
224	natural language processing	1.251	0.1896	69	5	5	4	2017.5
226	neural networks	-0.6664	0.6965	70	1	1	1	2016
231	non-linear systems	0.0001	-0	71	0	0	1	2012
238	ontologies	0.2476	-0.0454	72	1	1	1	2019
239	ontology	-0.5019	0.244	73	1	1	1	2017
240	open course ware	0.2625	0.3041	74	1	1	1	2011
241	open data	-0.4751	0.0806	75	1	1	1	2017
245	opencourseware	0.1675	0.4388	76	1	1	1	2012
246	opencv	-1.331	-0.8969	77	3	3	1	2017
253	pattern matching	-0.0002	0.0001	78	0	0	1	2019
254	pattern recognition	-0.4977	0.582	79	1	1	2	2015.5
261	prediction	-0.2877	-0.7744	80	1	1	1	2019
262	prediction model	-0.6787	-0.2818	81	2	2	2	2018.5
267	prometheus	-0	0.0001	82	0	0	1	2016
272	random forest	-0.0747	-0.3576	83	1	1	3	2016.6667
275	recommender systems	0.5164	-0.219	84	3	3	4	2016.75
283	robotics	0	0	85	0	0	1	2017
290	semantic measures	1.2695	-0.1268	86	2	2	1	2015
291	semantic network	-0	0.0001	87	0	0	1	2017
292	semantic web	0.398	0.5605	88	4	4	5	2013
293	semantic web.	0.2917	-0.2164	89	1	1	1	2014
295	sentiment analysis	0.8693	0.1295	90	4	4	4	2017.5
304	smart campus	0.2824	-0.6771	91	2	2	1	2019
305	smart cities	0.3223	-0.4548	92	2	2	1	2019
321	statistical implicative analysis	0.8994	0.4387	93	2	2	1	2017
326	supervised learning	0.039	0.5605	94	1	1	1	2017
327	support vector classification	-0.6438	0.4201	95	1	1	1	2015
328	support vector machine	-0	-0.0002	96	0	0	1	2014
329	support vector machines	-0.9224	0.1446	97	1	2	3	2016
338	tensorflow	-0.708	0.2254	98	1	1	1	2017
350	unmanned aerial vehicles (uavs)	-0.0001	-0.0001	99	0	0	1	2016
352	usability	-0.0226	-0.1937	100	1	1	3	2018
362	vision system	0	-0.0001	101	0	0	1	2016
363	visión artificial	-0	0.0001	102	0	0	1	2016
374	weka	-0.4231	0.4123	103	1	1	1	2017
376	wireless sensor networks	-0.2031	0.8109	104	1	1	1	2017
